NPC1, NPC2,NPC3,NPC4,NPC5,NPC6,NPC7,,,,,,,,,,,,
"Yes , after my graduation , I worked in a trade company in Macao for one year .","No , we ?re changing all the cameras to eight megapixels . We were hoping that by making your company our sole supplier for cameras we could negotiate a better deal .",What's your proposal ?,Can you tell me why you want to buy it ?,What do you drink ?,No . Their task is to send the aliens here from the outer space .,,,,,,,,,,,,,
The export Business Section .,"You have ordered a red dress , is that right ?",Do you mean a further reduction of 50 dollars in our price ? That's impossible !,"Oh , I see . Do you advise me to buy one ?",What ?s the Mountaineering Club doing this weekend ?,"OK , OK , one by one , please ! They look like robots , but they can speak . Their mission is to make friends with human beings .",,,,,,,,,,,,,
"Yes , very much .","Yes , here you are . Try it in front of the mirror .",The best we can do is another 30 dollars off . That's definitely the lowest we can go .,"That's true . Well , how much do you think I should get ?",How hard is the climb ?,"Of course in English , they learn English on Mars too .",,,,,,,,,,,,,
"Where to , ma'am ?",Did I hear about it ? I saw it happen .,OK . We can meet halfway again .,"Yes , I do , Susan . Just a moment . Here it is .",What did you do last week ?,Yes . I ?Ve won the first prize in the math contest .,,,,,,,,,,,,,
The Grand Hotel ?,I was there .,Hello .,"Not at all , Susan . Just tell him to leave it with my secretary when he ?s finished with it",Wow ! That sounds like a lot of fun . I ?m sorry I missed it .,"Thank you , Paul .",,,,,,,,,,,,,
"No , Madam . I don't think I do .",A man came into the bank with a gun .,"No , I was just about to get up . What's up , Carl ?",I'm going to the hospital to see Susan .,"Yeah , I will . See you then !","Good , happy birthday to you !",,,,,,,,,,,,,
"Oh , yes . I know where it is .",I was so scared when I saw the gun .,B as in boy . You should get off at the last stop in Chinatown .,Must I catch a number 7 bus to get there ?,How many languages can you speak ?,"Sure , I will . Thank you for inviting me .",,,,,,,,,,,,,
Would you like to order now ?,He took the money and tried to get away .,That's the wrong direction . Canal Street is on the other side of Chinatown .,"Number 13 buses run much more frequently , don't they ?",How well can you speak them ?,Sure . What's up ?,,,,,,,,,,,,,
What would you like for your main course ?,He didn't even make it out the door .,"At 10,45 . Is Ann coming along ?","Thank you , Henry . I'll get a number 13 .",Can you help me to translate these sentences into German now ?,"Yes , that's right . That's the poster of the The Witch .",,,,,,,,,,,,,
Do you have something to read ?,"hello ! I was exhausted form studying , so I decided to read the newspaper to relax . Unfortunately , the news is so depressing . There has been another murder in the city center . I ?m shocked that the pole","See you around , Carl .",Here you are .,Gross ! What are you doing to yourself ?,Did it scare you ?,,,,,,,,,,,,,
Could you lend me one ?,you mean if they catch the murderer . I ?m scared stiff about going into the city center at night .,Has your company been affected much by government legislation ?,Ok.But is there anything wrong ?,It looks like some kind of primitive form of torture .,"Boring ? Come on , you clutched to my arm all the time .",,,,,,,,,,,,,
"Thanks . It's rather cold this morning , wouldn't you say ?","well , there was one good piece of news . You remember the local girl who was dying of a rare blood disease ?",What about your use of raw materials ?,"I've got 6 packets of cigarettes and 2 bottles of champagne.Besides , I have two cameras , one is for my own use , and the other is a gift .","Well , you might pinch your eyelid ! Or lose an eyeball !",I like scary movies .,,,,,,,,,,,,,
Do you know the news ?,"well , they ?Ve got the money and she ?s going tomorrow for treatment .",What happens if you exceed the limits ?,Ok . Where shall I pay duty for it ?,Do you really have to work today ?,Of course you do . They are silly stories just for little kids like you .,,,,,,,,,,,,,
Brazil wins the World Cup .,"I ?m sure they are . Oh , and a local man won the lottery . I ?m so jealous ! I wish it were me ! I buy a lottery ticket every week and I ?m amazed that I haven ?t even won a small prize yet . It ?s so unfair !",Have you got any better ?,I've paid for it . Here's the receipt .,But you'll miss out on the football game .,Do you dare watch scary movies with me tonight ?,,,,,,,,,,,,,
We have the orientation this afternoon .,Let me see . The bell-bottom pants are $ 90 and the coat is $ 120 . It comes to $ 210 .,"Okay , I'll take one .",Thank you .,How smart of you to book the tickets before hand !,"Oh , really ?",,,,,,,,,,,,,
"The company introduction , our mission , vision , various policies , insurances , pension plan , company ID , batch , telephone , e-mail set-up and training .",I am sorry . It's a one-price shop .,"Good morning , sir . Sorry to disturb you . May I make up the room now ?","Nice to see you , too . I heard you are a staff of Nokia company .","Of course , otherwise you ?ll just have to wait for hours .",I am Chinese by birth .,,,,,,,,,,,,,
"Yes , it is not easy .","Yes , I've been waiting for my bags to be sent up for the last half hour . Where are they ?","No problem , sir . Everything will be ready when you come back .",Congratulations . What did you do during the interview ?,I had an accident .,My domicile place is Hebes Province .,,,,,,,,,,,,,
"Excuse me , could you please show me the way to the human resource department ?","Yes , it's Yao Lan . Room 406 .",What are the factors that have great impact on the perspective of this corporation ?,How can I have the good external expressions ?,"I found a new job after all , and I like this one even better than the last .",He's going to turn six next month .,,,,,,,,,,,,,
"Yes , of course . I am Monica . I have made an appointment with your HR manager .",Two suitcases and a handbag . The suitcases are blue and the shoulder bag is red .,What are the internal factors that influence the company ?,"Hello , welcome to Universal Bank . Please insert your card into the slot .","Tom , I won first prize in the poetry contest .",My mother-in - law . She retired last year .,,,,,,,,,,,,,
Thank you very much .,"Yes , there is .","I don ?t want you to be worried , but our son has some bad habits now . He says painful words everyday .",Please input your 6 digit PIN code followed by the pound key . Thank you . Please select an option.Thank you . You have selected withdrawal .,Really ! Here's my trophy .,"Yeah , I know .",,,,,,,,,,,,,
When can you get the finished product to me ?,Yes.May I have some more beer ?,"He says kick mommy , beat mommy , don ?t want mommy , very quickly if I do something that he doesn ?t like . You know , if I wash his face or change his clothes , things like that .","Please type the amount you would like to withdraw . Thank you , you want to transfer 10000 USD to the World Wildlife Foundation . If this is correct please press 1 .",What a beautiful watch . It goes very well with your ring .,Mmmm ... it's hard to say . I like golf a lot-but I guess I like tennis better .,,,,,,,,,,,,,
Great ! That ?ll be ahead of schedule ! Good work .,"Yes , the meal was very delicious and I enjoyed very much . I'm full .","Yes , but sometimes he is just not reasonable .",Confirmed . Thank you for using our bank ! Please remove your card from the slot . Goodbye !,Is that your wedding ring ?,"Yes , quite a bit . How about a game sometime ?",,,,,,,,,,,,,
Have you got any cheaper ones ?,"By the way , Miss.Where is the toilet ?","It ?s easy to say , but I will try .","Danger , danger ! The exits have been sealed and the doors will remain locked in until the local authorities arrive . Thank you for using our bank . Have a nice day .","Well , congratulations . When is the big date ?","Well , I go to the gym a lot . I am a member of a gym nearby .",,,,,,,,,,,,,
That's more reasonable . I'll take this one .,What ?,"I know my parents sometimes threaten to punish him . But this doesn ?t work , instead he picks up another bad habit .","I am great ! How about you , Mary ? How are you ?",Did you have the watch before getting the ring ?,About three times a week if I can .,,,,,,,,,,,,,
Good morning . what can I do for you ?,I attend an aerobic class three times a week .,How can I help you ?,I was wondering if you want to go see a movie with me tonight ?,You did a fabulous job with the selection . It's gorgeous .,"Not really . I ?d really like to try golf , though .",,,,,,,,,,,,,
You've come to the right store . We've got a beautiful and wide selection of earrings for you to choose from .,"No , I feel young , fresh and energetic .",Do you have an appointment ?,OK . What about going to the movies on Friday night ?,What kind of watch is it ?,"Hello , George .",,,,,,,,,,,,,
Do you mean the exquisite pearl earrings ?,"No , this isn't .",I wonder if Mr . Smith forgot your meeting . I am afraid he left this office this morning and is not expected back until after 4 pm . Let me find out if he made arrangements for someone else to meet with you in his place . Will you please have a seat ?,I was thinking about seeing that one about the rapist serial killer .,"If you don't mind me asking , how much do they cost ?","Yes , I have .",,,,,,,,,,,,,
They're only three thousand yuan .,Sure . Wait a minute .,"Yes , Mr . Mason , I just checked with our office manager , Ms . Terry , she said Mr . Smith briefed her on your project . She is just finishing up a meeting now . She could be with your shortly . Would you like me to show you around while you are waiting ?",That's a chick flick !,That's why it looks so nice . I should have figured . You always get what you pay for .,Paris in the Spring .,,,,,,,,,,,,,
"Well , it's specially made of a platinum alloy , sir , and the lustre will never fade out .",Why don't you wear a scarf ?,"Right this way , Mr . Mason . We can start with our front office . When Ms . Terry is ready , you may take the elevator at the front to the 6th floor . There is a conference room already prepared","First , I'd make sure that we have a good , local , corporate lawyer . He or she will know all the local laws and regulations .",I'm really mad at Bob .,"Paris is a beautiful city . I have never been there . Have you ever been there , Ken ?",,,,,,,,,,,,,
"You've made an excellent choice , sir .",You're cold because the wind is blowing into your open collar . It's not because your jacket isn't thick enough .,did you watch the Oscars on Sunday night ?,"I think that we should send one of our HR people to do that . I don ?t think we should use an agency , because they won ?t be familiar with the type of people we employ . Have we decide on the location of","Hi , Jack , how have you been ?","Paris in the spring , eh ?",,,,,,,,,,,,,
Room service .,Yes . That's the secret to wearing a thin jacket .,"yes , that was surprising . I heard that they got into a fight and then decided not to go .",Why didn ?t we choose an office in the CBD ?,Why ? Looks like you're feeling very down ! What happened ?,Just like dear old London !,,,,,,,,,,,,,
Right . Excuse me . Mrs . Jones ?,I'll lend you my gloves and earmuffs until you get your own .,they're also one of the richest couples . They have so many money and they can buy almost anything they want .,Yes . We ?Ve signed two contracts with companies that we already do work for in other countries . We hope to sign another three this month .,"Come on . For a man who's feeling so , down , there're usually two reasons . Either his career is going downhill , or he has a broken heart . Since you're so successful , it must be the latter .","It's inevitable . Their love wasbuilt on the sand , and this is why their marriage has landed on the rocks .",,,,,,,,,,,,,
What can I do for you ?,The most important thing to do is to make sure you know the company and what services or products it provides . Do you know all about them ?,did either one of them win an Oscar this year ?,Hopefully next month . Everything is a little rushed . We should be able to set up our branch office and expand our business quickly .,"Oh , I'm sorry . I thought you two were made for each ocher .",That give us a good lesson .,,,,,,,,,,,,,
"Just a few minutes , ma'am .","Well , after you've done your research , you have to decide whether the company is casual or formal . Have you decided what they are yet ?","Tom Cruise may be handsome , but I think he's a bit crazy , don't you ?","Yes , it has . We ?re going to target the business community through business magazines .","Well , she is not to blame . It's always difficult to choose between career and family .",I'll accompany my wife to the hospital .,,,,,,,,,,,,,
"Hi , Sam . I want to buy a pet . Do you have any ideas ?","When you are choosing what to wear , keep all of that in mind . Have you chosen what to wear ?",I still think that they only got married to get more publicity for their movies and themselves .,I want to pick up my valuables .,"Jack , I don't know what to say to comfort you , but cheer up ! There are plenty of fish in the sea and you'll find your soul mate , your perfect match !",She is expecting .,,,,,,,,,,,,,
Why ? anything special there ?,I would always be ready to go shopping with you ! Should we talk about other basics ?,I would never want to be a celebrity because the paparazzi would also be after you .,Sure . Here you are .,Do you know Sally ?,Thank you .,,,,,,,,,,,,,
"Oh , really ? are there any snakes ?","You need to make sure you arrive on time , smile , be pleasant and friendly , look the person in the eye and answer all questions to the best of your ability . You'll do great !",thank goodness we're not rich and famous !,"Yes , thank you .",Why is she still single ? She must have a face that would stop clock .,"I swear never to drink again . Just give me another chance , please !",,,,,,,,,,,,,
That's terrific . I can't wait to check it out .,Would you please show me that mural ?,"Next , please .",why ? I thought Americans were supposed to be more open than that .,Excuse me . Do you have the time ?,You know how hard I've tried to give up drinking ? I ?d be lost without you . I won ?t let you go anyway .,,,,,,,,,,,,,
Why not ? it's so cool .,It looks so beautiful . How much is it ?,"Yes , the rate for cash purchases is listed on the electronica screen , so you have seen the rate of exchange .",do you think most people in America believe that abortion is wrong ?,"Is it ? Oh , no . The concert will begin in twenty minutes . Are we too late to get there ?",There are a few stories about natural disasters . There is a massive forest fire in Australia . It covers several square kilometers of land has destroyed many more square kilometers .,,,,,,,,,,,,,
Pardon ?,That's a bit more than I wanted to pay . Can you cut the price down a bit ?,How much do you like to exchange ?,it's no wonder there are so many teenage pregnancies in America .,Did you watch the volleyball match last night ?,"Nobody knows at the moment , but it has been very hot there recently . The drought in Africa is causing starvation . Millions of people have migrated to try and find food .",,,,,,,,,,,,,
"Well , I didn't realize that .","Maybe you are right . OK , I'll take it .",In what denominations ?,what do you think about abortion ?,Who won ?,The European union has sent several plants with relief supplies . Several countries have sent soldiers to distribute food and medical supplies . Refugee camps have been set up across the region .,,,,,,,,,,,,,
"Oh , I should have thought of my brother's baby girl . Maybe I'll just have a dog instead of an exotic pet .",Thank you . Here is four hundred yuan .,"Right , I will exchange for you now . Please sign the exchange form giving the name and telephone .",do you think the fathers should have some kind of say in the matter ?,What is the score ?,"Six have been seriously affected , but the refugees are also migrating to several surrounding countries .",,,,,,,,,,,,,
"Hello , this is room 1205 . Our message lamp is flashing .",We ?re glad that you ?re here . Would you like a tour of the house ?,"OK , wait for a moment . Well , I am sorry , but we are not authorized to exchange coins because it is low and we do not have enough foreign coins . In this case , you'd better change 2,000 $ to Swiss francs .","why not ? It's their children , too .",Wonderful .,Yes . There have been a few there recently . They say that this one was not a big quake . The Iranians are dealing with it on their own . They have purchased some special equipment to find people buried u,,,,,,,,,,,,,
Thank you .,"Sure , I ?ll just go put the kettle on . Why don ?t you have a seat on the sofa and I ?ll go take care of things in the kitchen .",Please sign the memo on the bottom and keep your money and memo .,"that might be true , but I think men should have some kind of say in the matter .","What do you mean ? If he was a good programmer , he should have been raking it in .","So far , less than 20 people have died , but over 100 are in hospital .",,,,,,,,,,,,,
Would you bring the message to my room .,Do you take milk or sugar with your tea ?,Why are you holding me in this jail cell ?,But I don't have any reading assignments .,Again ?,"Yes , it is.It was taken just before I was leaving for college .",,,,,,,,,,,,,
Then I'll come down and pick up the message immediately .,Ok . What do you think about our living room ?,I have to go up to London for a couple of days next week . Would you like to come ?,"Aw , Mom-you're such a drag .",Ouch .,How time flies ! I'll not see twenty again .,,,,,,,,,,,,,
guess what ? I've got great news !,My parents gave them to us as a house warming gift .,"Well , I prefer to go on the train , but I suppose you want me to take the car .","Sorry , we haven't made the decision at all .","You mustn't touch the wet paint , Bill .","Yes , I'm now working in a company .",,,,,,,,,,,,,
"well , you know how I've been working at the Economist as a proof-reader , right ?","Your daughter usually does the dusting , and I do the vacuuming .",And I've got to drive . You know I'm not fond of that . I found it much more relaxing to sit in the train .,We will let you know probably next Monday . I hope to give you a positive reply .,Try to be more careful in future . Look ! you've damaged the sign .,Right . I enjoy what I'm doing .,,,,,,,,,,,,,
"well , the editor-in-chief heard that I had experience as an editor at another magadize and asked me if I was interested in becoming an assistant editor for him .","That ?s very nice of you to offer . Here ?s your tea . Be careful , it ?s still quite hot .",But very much quicker . But I know we'll never agree on this subject . You prefer the car . I prefer the train .,You can check on the bulletin boards at school for local housing .,It says No smoking here .,"Oh , I ?m afraid I can ?t . I ?Ve had a date already .",,,,,,,,,,,,,
she said that the columnist for the literary criticism column would be going on pregnancy leave soon and that I could be in charge of the column until she came back .,I feel sorry for you . It's a jungle out there .,I want to take a look at that home with the Open House flags out front .,There are websites that can hook you up with a roommate .,Good morning . I ?m from the New York book review . Could I ask you some questions about your latest book ?,May be some other time .,,,,,,,,,,,,,
"it's a monthly magazine , but my column will be shared with another columnist so my articles will be due fortnightly .",well . I guess I can ask around to see if anyone's got a room or apartment available .,"Yes , that is one of the houses that we have on our list .",It depends on what you want . Do you want a one - or two-bedroom apartment ?,"First , I ?Ve heard that your latest book is based on a true story .",Give it here .,,,,,,,,,,,,,
"yes , but I'm even more excited about getting my thoughts published again !",how much do are you looking to spend ?,I am going to go sign my name in the registry to let the listing agent know that we were here .,That will probably cost you around twelve hundred dollars a month .,How do you research your books ?,I think it ?s my acceptance letter from NYU .,,,,,,,,,,,,,
"I don't have any with me , but I think I could manage to bring a free copy home for you .",looks like you'll have to get a place in the suburbs .,I really appreciate that the listing agent provided water on such a hot day .,I would be happy to look at apartments with you .,I really like your books . I ?Ve just finished this one . I read it from cover to cover in a single day . Congratulation on making the bestseller list yet again !,They didn ?t accept me .,,,,,,,,,,,,,
"me , too . Do you want to go out to celebrate my good news ?",anything you need to have in the place ?,Is the current asking price listed on the flyer ?,Heard what ?,Oh ! Thank you very much . I heard that you are currently writing a collection of short stories . What are the stories about ?,It ?s the truth .,,,,,,,,,,,,,
perhaps we could go to the library festival that's going on at the local bookshop .,you can also check out university bulletin boards .,"Hello . This is Mrs . Wilson . I'd like to buy a new car . Could you offer me a new type of the car , please ?",I didn't know that .,Thanks very much . I ?m sure it will sell well . I can ?t wait to read it . Here ?s my card . Thank you for you time .,I really wanted to get into NYU .,,,,,,,,,,,,,
have you seen the new Cosmo magazine that I was reading this morning ?,"not really , but landlords put up notices to attract students and they often have low rent .","A new car . And I've got a small family , two children , and I haven't got a lot of money and ...",I honestly didn't know .,What shall I call him ?,It ?s okay . I ?m still waiting to hear from UCLA anyway .,,,,,,,,,,,,,
"you're right , thanks . There's an interesting interview with a top director about his latest film that I want to finish .",good luck .,Isn't this the car store ?,That's good to hear .,What's he doing ?,My girlfriend just broke up with me .,,,,,,,,,,,,,
"it's Martin Scorsese . You liked his film , The Departed , didn't you ?","Hi , I'd like to order some flowers .","Oh , sorry . Do you know the number for a car store , then ?",Of course I will .,For the 100th anniversary of the opening of the library we are going to have a party .,Yeah .,,,,,,,,,,,,,
"sure . You know it has an online edition , too . You should go online to read if you want to read it now .",They're for my Wife . Her name is Samantha .,I'm sorry to have bothered you .,Thanks for letting me know .,I hoped you would be willing to brainstorm with me for party ideas .,You've been through this too ?,,,,,,,,,,,,,
no . I don't buy it regularly enough for it to be worthwhile .,I don't know . I don't know too much about flowers . Can you recommend something ?,How about going to the cinema tonight ?,But that was the first thing that came into my mind when I heard the shout earthquake !,Perfect . It will be open to the public and we anticipate roughly about five to seven hundred people .,But it hurts too much .,,,,,,,,,,,,,
"it's almost three pounds now , and I think they're going to put the price up to four pounds soon .",Today's her birthday and she told me she wants me to buy her flowers .,"I am not sure about the name of the film , but I know it's a romantic one .",That would be too late .,Yes . And we checked with the city and we have permission to use the park adjacent to the library .,What if I don't want to find another girl ?,,,,,,,,,,,,,
"Cosmo mainly has a middle-class readership , but I think circulation will fall dramatically if the price goes up anymore .","I'm not sure . I know I should know that , but I can't remember right now .",Don't you think it's too bloody ?,"Yes , I think I should have jumped in any case .",I'm so glad I bought this watch !,You're right .,,,,,,,,,,,,,
Wei ! This is a first-you didn't bargain !,Roses will be fine .,"Hello , I scheduled an appointment with Dr . Smith , and I can ?t make it on that day .",I know what you mean . I've started eating better myself .,I think this is the coolest watch I've ever owned .,Yeah . Thanks for the talk .,,,,,,,,,,,,,
But you could have saved money .,I think red would be nice .,My appointment was on Monday .,"I tend to stick to fruits , vegetables , and chicken .",Isn't that a silly question ? You know how much of an athlete I am .,Ok . I'll talk to you later .,,,,,,,,,,,,,
"F . Y . I . , there is a flea market nearby , but maybe you're done ...","Can you deliver them , please ?",It was for 10,That's basically what I eat .,"Well , surfing , scuba diving ...",Let me see . The one goes for $ 17 .,,,,,,,,,,,,,
Can you help me do an internet search ?,241 Main street .,I would prefer next Thursday .,"Well , fruits and vegetables are very healthy .",Do you take a bus to and from work ?,"No , I can ?t let you have it for 12.How about 14 ?",,,,,,,,,,,,,
I want to find information on the American Civil War .,Why don't you try Chinese herbal medicine ?,I want to come in at 2,It's really healthy to eat when you bake it .,"Hmm . I have the same problem . When I leave work , it ?s always rush hour . So the buses are always crowded .","Sorry , $ 14 is the lowest I can go .",,,,,,,,,,,,,
"Yes , I want to know about the battle of Gettysburg .",You have to try at least .,"Office Supplies , Inc . Robert speaking , may I help you ?",Good morning ! Welcome to our office !,"That sounds terrible the way you describe it . But you know , not long ago I really suffered on the bus .",Never mind about that .,,,,,,,,,,,,,
"Oh wow , there are a lot of sites .",That's nothing .,"Yes , Ms . Reese . I remember , you spoke with me . Is there a problem ?",Nice to meet you too ! I am Peter Smith .,"You just can ?t imagine ! I waited for the first bus but it was too full , so I waited for the second , and it was still very crowded . Then I decided not to wait for the next one , and got on the second bus . It was so full that I had to stand on one foot ! No kidding !","No , I won ?t hear of it .",,,,,,,,,,,,,
Thanks .,I need to take a few classes .,"Ms Anderson , my name is Mike . I am Division Chief of ABC Company . Welcome to Toronto .","Well , hope you will enjoy your first day ! Just ask me if you need any help .","Yeah , absolutely !","Nice to see you again , too . Peter . How's your family ?",,,,,,,,,,,,,
"Thanks . If I ?m interested , I ?ll go to the library .",How about a driver's course ?,"A pleasure meeting you as well , the flowers are for you .",You are welcome .,"You were so happy , weren ?t you ?","Not bad , But she's as busy as before .",,,,,,,,,,,,,
I just have to come up for air . I ?Ve been here for too long a time .,I don't understand why I need to make an appointment .,I am really interested in buying this television .,"Yes , I used to have a part-time job in advertising company .",We are going to have a picnic tomorrow at the picnic center .,You are right . We shouldn't do anything under the table .,,,,,,,,,,,,,
Good afternoon . I'd like to speak with Tom Smith .,I'd like to make one now if I could .,How much are you selling it for ?,I mostly did advertising planning .,Now let's get things ready .,"Hi , Vince . Thanks for stopping by . How's the work coming along for the online auction ?",,,,,,,,,,,,,
Do you know when he will be back ?,I'd like to come in tomorrow morning at 9,You can't be serious .,"I think an advertising planner should have active thoughts , creative talent , and be sensitive to the changes in the market .",That's much more convenient . We don't even have to bring the flavorings .,Can't Elvin handle it ?,,,,,,,,,,,,,
Is there some way I can get into contact with him ?,That's great . Thank you very much .,That's too expensive for me .,"The most important thing I learned was that I must continuously improve my abilities . Advertising is a constantly evolving trade and creativity is an important fact to success . If I want to make in marking in advertising industry , I can ?t stop studying and creating .","Look ! Mom , that's amazing ! I can't believe the girls have so neat movements .",How about the soup ?,,,,,,,,,,,,,
"Thanks . And could I have his e-mail , just in case I can't get him by phone ?","Hello . I would like to speak to your director of human resources , Ms.Jenkins , Please .",You can't go down on the price .,Dan is on top of that . I think they are also getting the handyman to fix the bathroom toilet that keeps clogging up .,And all their movements are so elegant . It seems like dancing in the water .,How nice of you to say so .,,,,,,,,,,,,,
Thank you so much . Does he read his e-mails daily ?,"This is Bill Burton from Milford Insurance , I'm calling in regards to our meeting next Tuesday .",I'll buy it for $ 2000 .,Yeah you are right . This office is falling apart ! Frank told me the other day that the gutters outside were clogged and that ?s why the parking lot was flooded .,There you go ! Daddy has told me that water ballet is also called Synchronized Swimming .,"Not much , just heading over to the shooting range . You wanna come ?",,,,,,,,,,,,,
Great . Thanks again . You've been very helpful .,No problem .,Did you pack this bag yourself ? Has it been out of your possession at any time before checking-in ?,"No , I don't .","Wow , Mom is more knowledgeable than Dad . I must learn from you .","Yeah , it will be fun ! I have a 9mm pistol that is really easy to shoot . I also have a revolver that ?s really fun too ! They have big targets at the range that we could use to practice and improve your aim .",,,,,,,,,,,,,
"What seems to be the trouble , Mr . Brown ?","Better , thank you , doctor .",Are you bringing in any plants or animal products ?,That sounds like a good idea .,"OK , you're the boss . Look , Mom , one guy has just jumped into the swimming pool .","Whoa , take it easy there Rambo . Don ?t get carried away . These weapons are not toys , and you must first learn how to handle them properly . There are basic rules that you must abide by in order to be safe . For example , never handle a weapon that you haven ?t inspected yourself . Always make sure there isn ?t anything in the chamber , and never put your finger on the trigger unless you are ready to shoot !",,,,,,,,,,,,,
"Oh , in what way ?","Certainly , doctor . Come upstairs .",Our sniffer dog seems to disagree . Do you mind if we look in your suitcase ?,"Oh , do you ? Good .",It seems that nobody in your class likes Paul .,"The reality is different you know , running and firing a weapon is a lot harder than in the movies ! So are you ready ?",,,,,,,,,,,,,
Did you lose any weight ?,"Does he have a temperature , doctor ?",What ?s this sir ?,"I'd love to , the movies are smash hit .","As a teacher , I don ?t know how to help him .",I ?m fine . I ?Ve been out of town . I just got back .,,,,,,,,,,,,,
When was the last time you had a check-up ?,Must he stay in bed ?,What are these red things sir ?,"I can't . I'm waiting for Paul , but he's late .","Hey Rachael , what's up ? How is your day ?",I was in New York for a wedding .,,,,,,,,,,,,,
Let me take your blood pressure . You look anemic .,"He's in bed , doctor . Can you see him , please ? He has a bad cold , too !","I ?m sorry sir , but you can ?t take any of this into the country . We will also have to check your carry-on . Please step this way . Don ?t ?be nervous ; we ?ll just look through it briefly and then",I know . I wonder what's keeping him .,"Oh , yea . I forgot.So how did it go ?",Don't feel like it . I'm broke .,,,,,,,,,,,,,
You're just a little run-down from overwork .,"What would you like to know , Mr . Green ?","Hello.Is Bob there , please ?","Yeah , a number of times .","Great , so what happens now ?","Just look around ? Ah , that's boring .",,,,,,,,,,,,,
I think all you need is just a vacation .,"In 2004 , I got a job in the sales department of a trading company near Guangzhou . I started a sales representative . A year later , I was promoted to the position of sales manager . I had that job ever since , which is just over a year now .",Oh.This is Paul.When will he be back ?,I don't know . But this is definitely the last straw .,Do you believe in UFOs ?,I don't know . My life is a big mess . Everything is so complicated .,,,,,,,,,,,,,
"Thank you , doctor . I'll do as you say .","Frankly , some part of it I enjoy very much , but I prefer something more professional . It happens that I have a friend working here in this company . She told me the export department was to recruit an assistant . I felt very excited at this news . That's why I'm here .",Can I leave a message please ?,"You said it . Ok , let's go in , Sandy .",But I never saw them .,"but promise me , you'll keep it a secret .",,,,,,,,,,,,,
"Good morning , Angela , how have you been lately ?","Yes , it's very nice . All our foreign visitors enjoy it . The food is wonderfully well-prepared . Let me know if you need any help with the menu .",Please tell him I'll call him at the office tomorrow afternoon .,It's not even noon yet .,You mean that you can them .,I've fallen in love with my boss .,,,,,,,,,,,,,
"Well , rest assured that you can count on us to be here for the long run , sitdown.Coffee ?",Yes . A terrine is a kind of meat pate . It's meat turned into a paste . It sounds horrible but it's actually really good .,Thank you very much .,I am dying from the heat .,They come to the earth ?,"no , of course not . He is still single .",,,,,,,,,,,,,
"Haha , I could never do that . I ?d be a zombie if I didn ?t have my morning coffee fix . Let ?s get down to business then .","You could try the ravioli . They are rather like your Chinese dumplings , and the sauce is delicious .","Hey , son , are you insured ?",It doesn't work .,Aliens from the outer space ? Do you talk to them ? What do they look like ?,I try to keep it to myself . But there is a lot of gossip about us .,,,,,,,,,,,,,
That ?s great ! I ?m glad to hear that Pear has finally jumped on the bandwagon . Right now our contract is for the five megapixel cameras . Is Pear still interested in having those ?,"Well , you can have fries-French fries-or simple boiled potatoes .",I took out a life insurance policy and made your mother the beneficiary .,I don't know .,That means that you talk to them ? In which language ?,"worse still , he is trying to avoid me these days .",,,,,,,,,,,,,
Surely . Let ?s get started by drafting a new contract .,I'm having my usual . I like the fish here . Would you like some wine ?,I am a fireman and it is a dangerous job . I have to consider your mother's life .,Of course .,Wow . Sounds fantastic !,it gives me a lot of pressure and I feel depressed .,,,,,,,,,,,,,
Can I get my dress today ?,Would you like those with yogurt ?,"You have children now . What if something , God forbid , happens to you ?",He's busy . He said next week .,"You look so happy , Anna . Any good news ?","Oh , nothing special . I'm just a bit tired .",,,,,,,,,,,,,
Yes . Is that available now ?,What else would you like to add ? We highly recommend caterpillar fungus .,"A $ 100 000 policy shouldn't be too expensive . Here , call my agent . He'll give you a good deal .","Yes , thank you . I've already been helping myself .",Really ? Congratulations !,"With everything , with everybody , with all this !",,,,,,,,,,,,,
Did you hear about the robbery ?,It ?s a special kind of Chinese herb . It ?s good for you !,"Excuse me , Mr . Emory ? Mr . Macmillan , would like to know if you have the completed schedule for next week ?","I like hot food , especially Sichuan cuisine .","By the way , would you like to have dinner with me tomorrow evening ? Tomorrow is my birthday .","It wasn't always like this , you know .",,,,,,,,,,,,,
Are you serious ?,What's so great about it ?,"Thank you , sir . Sorry to trouble you .","I'll have another cup of beer insist . I know I don't like to drink alone , especially there are someone sitting there next to me .","Not so soon . It ?s not my birthday today . Well , you ?ll come , won ?t you ?","Well , I mean . We always do the same thing . There's no variety in our lives .",,,,,,,,,,,,,
What happened ?,"Not to me , I wouldn't be caught dead in that .","Where are you going , Jane ?","Bottom's up , and you're right . This meal is incredible . I wish I had known this restaurant before . Thanks for bringing me here . I know I'll be back agile soon .",My pleasure .,"Certainly , perhaps .",,,,,,,,,,,,,
That's insane .,"Yeah , you seem to like those styles .",I saw her yesterday.She was a little better .,"Well , I must apologize , madam . We have new computers here , you know .",Do you have a minute ?,"Hey , Isabelle ...",,,,,,,,,,,,,
Then what happened ?,This one looks really expensive though .,"No , you needn't . A number 13 bus will also take you to the hospital .",I agree entirely . I assure you it won't happen again .,"Hey , May , look , Is that the the poster of the movie we saw yesterday ?","Yes , I am the guy .",,,,,,,,,,,,,
